ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Instructional Design,,FOUND
2,Learning Objective,1,FOUND
3,MicroSim,2|4,FOUND
4,Interactive Simulation,5,FOUND
5,Educational Technology,,FOUND
6,AI-Assisted Design,5,FOUND
7,Bloom's Taxonomy,2,BLOOM
8,Cognitive Complexity,7,BLOOM
9,Remember Level,7,BLOOM
10,Understand Level,7|9,BLOOM
11,Apply Level,7|10,BLOOM
12,Analyze Level,7|11,BLOOM
13,Evaluate Level,7|12,BLOOM
14,Create Level,7|13,BLOOM
15,Action Verbs,7,BLOOM
16,Measurable Outcomes,2|15,BLOOM
17,Learning Outcome,2|16,BLOOM
18,Objective Decomposition,2|19,BLOOM
19,Atomic Concepts,2,BLOOM
20,Compound Objectives,2|19,BLOOM
21,Prerequisite Knowledge,2|24,FOUND
22,Assumed Knowledge,21,FOUND
23,Simulation Readiness,3|18,FOUND
24,Concept Dependencies,19,FOUND
25,Learning Pathway,24|21,FOUND
26,Visualization Paradigm,3,VISUA
27,p5.js Animation,26|41,LIBRA
28,Network Graph,26|45,VISUA
29,vis-network Library,28,LIBRA
30,Timeline Visualization,26|49,VISUA
31,vis-timeline Library,30,LIBRA
32,Chart Visualization,26|51,VISUA
33,Chart.js Library,32,LIBRA
34,Plotly Library,32,LIBRA
35,Map Visualization,26|54,VISUA
36,Leaflet Library,35,LIBRA
37,Diagram Visualization,26|55,VISUA
38,Mermaid Library,37,LIBRA
39,Venn Diagram,26|57,VISUA
40,Set Visualization,39,VISUA
41,Motion Simulation,4,VISUA
42,Physics Simulation,41,VISUA
43,Dynamic Systems,42,VISUA
44,Cause-Effect Display,41,VISUA
45,Relationship Graph,4,VISUA
46,Hierarchy Display,45,VISUA
47,Dependency Mapping,45|24,VISUA
48,Influence Diagram,45,VISUA
49,Sequence Display,4,VISUA
50,Process Timeline,49,VISUA
51,Trend Chart,4,VISUA
52,Distribution Chart,51,VISUA
53,Correlation Display,51,VISUA
54,Spatial Visualization,4,VISUA
55,Flowchart,4,VISUA
56,State Machine Diagram,55,VISUA
57,Classification Display,4,VISUA
58,Paradigm Selection,26|59,VISUA
59,Concept Characteristics,19,VISUA
60,Visual Affordances,26,VISUA
61,Specification Document,3,SPECI
62,Visual Description,61,SPECI
63,Interaction Behavior,61|4,SPECI
64,Behavior Constraints,63,SPECI
65,Success Criteria,61|16,SPECI
66,Edge Case Definition,61|64,SPECI
67,Specification Ambiguity,61,SPECI
68,Intent Preservation,2|67,SPECI
69,AI Interpretation,6|68,SPECI
70,Prompt Engineering,6,ITERA
71,Refinement Prompt,70|137,ITERA
72,Generation Workflow,6|134,ITERA
73,Output Interpretation,72,ITERA
74,Issue Identification,73,ITERA
